"Dispensary","Hoodie ID","License #","Carried SKUs","SKU Count Change (since last week)","Total Monthly Sales","Address"
"Green Goddess Remedies","14846","050-1000365F3DF","386","3% (-10)","under $250k","5435 SW Taylors Ferry Rd, Portland, OR 97219, USA"
"Mongoose Cannabis Co.","masterauto1619664287934","050-101105215C0","308","3% (-10)","under $250k","3123 SE Belmont St, Portland, OR 97214, USA"
"Yachats Cannabis Company","10523","050-1011062F6DA","306","3% (-10)","under $250k","430 Hwy 101 N, Yachats, OR 97498, USA"
"CannaVida - Bend","masterauto1621991076697","050-10006946EE11","276","3% (-10)","under $250k","325 NE FRANKLIN Ave, Bend, Oregon, USA"
"Phresh Start - Cottage Grove","masterauto1706901668873","Unspecified","258","4% (-10)","under $250k","710 Row River Rd, Cottage Grove, OR 97424, USA"
"Kings of Canna","13219","050-10024220915","257","4% (-10)","under $250k","1465 NE Prescott St C, Portland, OR 97211, USA"
"Cola Cove","11721","050-101323878C8","256","4% (-10)","under $250k","13553 SW Pacific Hwy, Tigard, OR 97223, USA"
"Parlour Cannabis Shoppe","14682","050-1017674D3AA","256","4% (-10)","under $250k","4702 SW Scholls Ferry Rd, Portland, OR 97225, USA"
"Rogue Valley Cannabis - Ashland","10977","050-101344798CE","235","4% (-10)","under $250k","505 Siskiyou Blvd, Ashland, OR 97520, USA"
"Cannabis Curb","masterauto1622325249817","050-101564175EC","174","5% (-10)","under $250k","4069 NE Martin Luther King Jr Blvd, Portland, OR 97212, USA"
"Green Muse","11462","050-1006382C6BF","100","9% (-10)","under $250k","5515 NE 16th Ave, Portland, OR 97211, USA"
"Rosebud Growers Cannabis Shop","17062","050-101562607D1","78","11% (-10)","under $250k","2637 NE Martin Luther King Jr Blvd B, Portland, OR 97212, USA"
"Oregon Bud Company - Portland 122nd","15613","050-10109202F8F","41","20% (-10)","under $250k","5515 SE 122nd Ave, Portland, OR 97236, USA"
"Lifted NorthWest","10488","050 1005108139A","32","24% (-10)","under $250k","11121 SE Division St, Portland, OR 97266, USA"
